A;RTSALEDATA;224;20200427 01:02;VALNET;
B;224;2559571;46;20200427 01:02;;;8;KUNGALA ST;ST MARYS;2760;619.7;M;20191022;20200422;900000;R2;R;RESIDENCE;;RAC;;0;AQ53330;
C;224;2559571;46;20200427 01:02;61/26908;
D;224;2559571;46;20200427 01:02;P;;;;;;
D;224;2559571;46;20200427 01:02;P;;;;;;
D;224;2559571;46;20200427 01:02;V;;;;;;
B;224;2562318;47;20200427 01:02;WENTWORTH GARDENS;17;380;GLENMORE PKWY;GLENMORE PARK;2745;;;20200324;20200422;555000;;R;RESIDENCE;17;;;0;AQ52980;
C;224;2562318;47;20200427 01:02;17/SP58923;
D;224;2562318;47;20200427 01:02;P;;;;;;
D;224;2562318;47;20200427 01:02;V;;;;;;
B;224;3552298;48;20200427 01:02;;;25;BRONZEWING COMMON;CRANEBROOK;2749;486.4;M;20200222;20200417;855000;R1;R;RESIDENCE;;RCW;;0;AQ43986;
C;224;3552298;48;20200427 01:02;4/286300;
D;224;3552298;48;20200427 01:02;P;;;;;;
D;224;3552298;48;20200427 01:02;P;;;;;;
D;224;3552298;48;20200427 01:02;V;;;;;;
D;224;3552298;48;20200427 01:02;V;;;;;;
B;224;3580824;49;20200427 01:02;;;8;COACHWOOD DR;CLAREMONT MEADOWS;2747;412.5;M;20200224;20200420;750000;R2;R;RESIDENCE;;RAM;;0;AQ47134;
C;224;3580824;49;20200427 01:02;14/1160574;
D;224;3580824;49;20200427 01:02;P;;;;;;
D;224;3580824;49;20200427 01:02;P;;;;;;
D;224;3580824;49;20200427 01:02;V;;;;;;
B;224;4087933;50;20200427 01:02;;;5;CHAFFEY ST;JORDAN SPRINGS;2747;405;M;20200303;20200417;804000;A;R;RESIDENCE;;AAJ;;0;AQ41141;
C;224;4087933;50;20200427 01:02;3067/1220974;
D;224;4087933;50;20200427 01:02;P;;;;;;
D;224;4087933;50;20200427 01:02;V;;;;;;
D;224;4087933;50;20200427 01:02;V;;;;;;
B;224;4111372;51;20200427 01:02;;8;206;GREAT WESTERN HWY;KINGSWOOD;2747;;;20200312;20200423;415000;;R;RESIDENCE;8;;;0;AQ54053;
C;224;4111372;51;20200427 01:02;8/SP97059;
D;224;4111372;51;20200427 01:02;P;;;;;;
D;224;4111372;51;20200427 01:02;V;;;;;;
D;224;4111372;51;20200427 01:02;V;;;;;;
B;224;4133998;52;20200427 01:02;;;15;BUNDLE ST;CADDENS;2747;465;M;20200312;20200423;522000;R1;V;VACANT LAND;;RAB;;0;AQ53906;
C;224;4133998;52;20200427 01:02;354/1229231;
D;224;4133998;52;20200427 01:02;P;;;;;;
D;224;4133998;52;20200427 01:02;P;;;;;;
D;224;4133998;52;20200427 01:02;V;;;;;;
D;224;4133998;52;20200427 01:02;V;;;;;;
B;224;4096583;53;20200427 01:02;;;74;DONCASTER AVE;CLAREMONT MEADOWS;2747;586.3;M;20200317;20200420;1111228;R2;R;RESIDENCE;;RAM;;0;AQ47117;
C;224;4096583;53;20200427 01:02;39/1224294;
D;224;4096583;53;20200427 01:02;P;;;;;;
D;224;4096583;53;20200427 01:02;P;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
D;224;4096583;53;20200427 01:02;V;;;;;;
B;224;3664769;54;20200427 01:02;;;100;LAKEVIEW DR;CRANEBROOK;2749;238;M;20200309;20200420;650000;R1;R;RESIDENCE;;RCW;;0;AQ45060;
C;224;3664769;54;20200427 01:02;22/286423;
D;224;3664769;54;20200427 01:02;P;;;;;;
D;224;3664769;54;20200427 01:02;P;;;;;;
D;224;3664769;54;20200427 01:02;V;;;;;;
B;224;3637764;55;20200427 01:02;;;13;DARUG AVE;GLENMORE PARK;2745;353.3;M;20200307;20200420;760000;R1;R;RESIDENCE;;RKR;;0;AQ47283;
C;224;3637764;55;20200427 01:02;1485/1161693;
D;224;3637764;55;20200427 01:02;P;;;;;;
D;224;3637764;55;20200427 01:02;P;;;;;;
D;224;3637764;55;20200427 01:02;V;;;;;;
B;224;2789367;56;20200427 01:02;;;20;MONTERAY TCE;GLENMORE PARK;2745;501.6;M;20200311;20200422;910000;R2;R;RESIDENCE;;RKL;;0;AQ52057;
C;224;2789367;56;20200427 01:02;8574/1020753;
D;224;2789367;56;20200427 01:02;P;;;;;;
D;224;2789367;56;20200427 01:02;P;;;;;;
D;224;2789367;56;20200427 01:02;V;;;;;;
D;224;2789367;56;20200427 01:02;V;;;;;;
B;224;3296509;57;20200427 01:02;;6;57;BARRY ST;CAMBRIDGE PARK;2747;;;20200224;20200420;535000;;R;RESIDENCE;6;;;0;AQ45572;
C;224;3296509;57;20200427 01:02;6/SP78453;
D;224;3296509;57;20200427 01:02;P;;;;;;
D;224;3296509;57;20200427 01:02;V;;;;;;
B;224;3507195;58;20200427 01:02;;50;15;ATCHISON ST;ST MARYS;2760;;;20200308;20200420;445000;;R;RESIDENCE;54;;;0;AQ45912;
C;224;3507195;58;20200427 01:02;54/SP92177;
D;224;3507195;58;20200427 01:02;P;;;;;;
D;224;3507195;58;20200427 01:02;P;;;;;;
D;224;3507195;58;20200427 01:02;V;;;;;;
D;224;3507195;58;20200427 01:02;V;;;;;;
D;224;3507195;58;20200427 01:02;V;;;;;;
D;224;3507195;58;20200427 01:02;V;;;;;;
B;224;3977424;59;20200427 01:02;;;36;GREENWOOD PKWY;JORDAN SPRINGS;2747;321.5;M;20200217;20200417;720000;A;R;RESIDENCE;;AAJ;;0;AQ43559;
C;224;3977424;59;20200427 01:02;57/1217814;
D;224;3977424;59;20200427 01:02;P;;;;;;
D;224;3977424;59;20200427 01:02;P;;;;;;
D;224;3977424;59;20200427 01:02;V;;;;;;
B;224;4264043;60;20200427 01:02;;7;30;KING ST;ST MARYS;2760;189;M;20200323;20200422;585000;;R;RESIDENCE;7;;;0;AQ51610;
C;224;4264043;60;20200427 01:02;7/SP100655;
D;224;4264043;60;20200427 01:02;P;;;;;;
D;224;4264043;60;20200427 01:02;V;;;;;;
B;224;4280850;61;20200427 01:02;;302;114;STATION ST;PENRITH;2750;150;M;20161006;20200417;570000;;R;RESIDENCE;12;;;0;AQ43613;
C;224;4280850;61;20200427 01:02;12/SP100688;
D;224;4280850;61;20200427 01:02;P;;;;;;
D;224;4280850;61;20200427 01:02;P;;;;;;
D;224;4280850;61;20200427 01:02;V;;;;;;
B;224;4280850;62;20200427 01:02;;503;114;STATION ST;PENRITH;2750;116;M;20170509;20200417;555000;;R;RESIDENCE;21;;;0;AQ43259;
C;224;4280850;62;20200427 01:02;21/SP100688;
D;224;4280850;62;20200427 01:02;P;;;;;;
D;224;4280850;62;20200427 01:02;V;;;;;;
B;224;4285815;63;20200427 01:02;;;1208;THE NORTHERN ROAD;LLANDILO;2747;5004;M;20171003;20190627;7000000;;V;VACANT LAND;;;;0;AP355411;
C;224;4285815;63;20200427 01:02;2/1248137;
D;224;4285815;63;20200427 01:02;P;;;;;;
D;224;4285815;63;20200427 01:02;V;;;;;;
Z;333;63;63;205;
