A;005;20110801 01:53;VALNET;
D;005;3576560;47;20110801 01:53;P;;;;;;
D;005;3576560;47;20110801 01:53;V;;;;;;
B;005;3576560;48;20110801 01:53;;13;112;CHELMSFORD DR;METFORD;2323;;;20100524;20110714;331800;;R;RESIDENCE;13;;;0;AG379280;
C;005;3576560;48;20110801 01:53;13/SP85288;
D;005;3576560;48;20110801 01:53;P;;;;;;
D;005;3576560;48;20110801 01:53;V;;;;;;
B;005;3576560;49;20110801 01:53;;14;112;CHELMSFORD DR;METFORD;2323;;;20100702;20110701;300800;;R;RESIDENCE;14;;;0;AG373755;
C;005;3576560;49;20110801 01:53;14/SP85288;
D;005;3576560;49;20110801 01:53;P;;;;;;
D;005;3576560;49;20110801 01:53;V;;;;;;
B;005;3576560;50;20110801 01:53;;18;112;CHELMSFORD DR;METFORD;2323;;;20100503;20110627;319000;;R;RESIDENCE;18;;;0;AG373733;
C;005;3576560;50;20110801 01:53;18/SP85288;
D;005;3576560;50;20110801 01:53;P;;;;;;
D;005;3576560;50;20110801 01:53;V;;;;;;
B;005;3576560;51;20110801 01:53;;20;112;CHELMSFORD DR;METFORD;2323;;;20100423;20110707;300800;;R;RESIDENCE;20;;;0;AG373745;
C;005;3576560;51;20110801 01:53;20/SP85288;
D;005;3576560;51;20110801 01:53;P;;;;;;
D;005;3576560;51;20110801 01:53;V;;;;;;
B;005;3576560;52;20110801 01:53;;33;112;CHELMSFORD DR;METFORD;2323;;;20100708;20110713;300800;;R;RESIDENCE;33;;;0;AG374413;
C;005;3576560;52;20110801 01:53;33/SP85288;
D;005;3576560;52;20110801 01:53;P;;;;;;
D;005;3576560;52;20110801 01:53;V;;;;;;
B;005;3581365;53;20110801 01:53;;;16;CRESTVIEW ST;GILLIESTON HEIGHTS;2321;539;M;20110614;20110713;165000;A;V;VACANT LAND;;GA;;0;AG373995;
C;005;3581365;53;20110801 01:53;578/1161359;
D;005;3581365;53;20110801 01:53;P;;;;;;
D;005;3581365;53;20110801 01:53;P;;;;;;
D;005;3581365;53;20110801 01:53;V;;;;;;
B;005;3586605;54;20110801 01:53;;;34;LES CCT;GILLIESTON HEIGHTS;2321;647.8;M;20110525;20110708;181000;A;V;VACANT LAND;;GA;;0;AG363409;
C;005;3586605;54;20110801 01:53;908/1157275;
D;005;3586605;54;20110801 01:53;P;;;;;;
D;005;3586605;54;20110801 01:53;V;;;;;;
B;005;180037;55;20110801 01:54;;;41;GREENWAY AVE;WOODBERRY;2322;556.4;M;20110704;20110715;255000;A;R;RESIDENCE;;GP;;0;AG384989;
C;005;180037;55;20110801 01:54;9/240061;
D;005;180037;55;20110801 01:54;P;;;;;;
D;005;180037;55;20110801 01:54;V;;;;;;
D;005;180037;55;20110801 01:54;V;;;;;;
B;005;174633;56;20110801 01:54;AUTO WINDSCREENS;;67;BULWER ST;MAITLAND;2320;889;M;20110705;20110713;700000;A;3;COMMERCIAL;;EK;;0;AG386086;
C;005;174633;56;20110801 01:54;1, 2/998157;
D;005;174633;56;20110801 01:54;P;;;;;;
D;005;174633;56;20110801 01:54;V;;;;;;
B;005;178596;57;20110801 01:54;;;9;FOREST DR;CHISHOLM;2322;8266;M;20110521;20110701;683000;R;R;RESIDENCE;;LF;;0;AG390152;
C;005;178596;57;20110801 01:54;59/807164;
D;005;178596;57;20110801 01:54;P;;;;;;
D;005;178596;57;20110801 01:54;P;;;;;;
D;005;178596;57;20110801 01:54;V;;;;;;
B;005;173444;58;20110801 01:54;;;10;BETULA AVE;LARGS;2320;843.4;M;20110525;20110630;446000;A;R;RESIDENCE;;GD;;0;AG379261;
C;005;173444;58;20110801 01:54;32/814684;
D;005;173444;58;20110801 01:54;P;;;;;;
D;005;173444;58;20110801 01:54;P;;;;;;
D;005;173444;58;20110801 01:54;V;;;;;;
D;005;173444;58;20110801 01:54;V;;;;;;
B;005;173744;59;20110801 01:54;;;5;BONAR ST;MAITLAND;2320;619.6;M;20110601;20110719;360000;A;R;RESIDENCE;;EF;;0;AG388437;
C;005;173744;59;20110801 01:54;1/738924;
D;005;173744;59;20110801 01:54;P;;;;;;
D;005;173744;59;20110801 01:54;P;;;;;;
D;005;173744;59;20110801 01:54;P;;;;;;
D;005;173744;59;20110801 01:54;P;;;;;;
D;005;173744;59;20110801 01:54;V;;;;;;
D;005;173744;59;20110801 01:54;V;;;;;;
B;005;179104;60;20110801 01:54;;;186;GEORGE ST;EAST MAITLAND;2323;670.3;M;20110620;20110715;263000;A;R;RESIDENCE;;HG;;0;AG383773;
C;005;179104;60;20110801 01:54;2/150823;
D;005;179104;60;20110801 01:54;P;;;;;;
D;005;179104;60;20110801 01:54;P;;;;;;
D;005;179104;60;20110801 01:54;V;;;;;;
B;005;174190;61;20110801 01:54;;;10;BROOKS ST;TELARAH;2320;328.8;M;20110225;20110331;190000;A;R;RESIDENCE;;EA;;0;AG180063;
C;005;174190;61;20110801 01:54;21/R/977075;
D;005;174190;61;20110801 01:54;P;;;;;;
D;005;174190;61;20110801 01:54;V;;;;;;
B;005;176865;62;20110801 01:54;;;45;DAVID AVE;EAST MAITLAND;2323;623.3;M;20110525;20110708;385000;A;R;RESIDENCE;;HE;;0;AG373370;
C;005;176865;62;20110801 01:54;19/262490;
D;005;176865;62;20110801 01:54;P;;;;;;
D;005;176865;62;20110801 01:54;P;;;;;;
D;005;176865;62;20110801 01:54;V;;;;;;
B;005;188055;63;20110801 01:54;;;17;RAWORTH AVE;RAWORTH;2321;556.4;M;20110607;20110712;380000;A;R;RESIDENCE;;GG;;0;AG378727;
C;005;188055;63;20110801 01:54;B/438953;
D;005;188055;63;20110801 01:54;P;;;;;;
D;005;188055;63;20110801 01:54;P;;;;;;
D;005;188055;63;20110801 01:54;V;;;;;;
B;005;185631;64;20110801 01:54;;;16;MURPHY CCT;ASHTONFIELD;2323;831.8;M;20110603;20110715;287162;A;R;RESIDENCE;;HA;;0;AG387683;
C;005;185631;64;20110801 01:54;707/875370;
D;005;185631;64;20110801 01:54;P;;;;;;
D;005;185631;64;20110801 01:54;V;;;;;;
B;005;188768;65;20110801 01:54;;;9;ROCKLEIGH ST;THORNTON;2322;746.1;M;20110519;20110701;297000;A;R;RESIDENCE;;GL;;0;AG380472;
C;005;188768;65;20110801 01:54;3/B/10725;
D;005;188768;65;20110801 01:54;P;;;;;;
D;005;188768;65;20110801 01:54;V;;;;;;
D;005;188768;65;20110801 01:54;V;;;;;;
B;005;187010;66;20110801 01:54;;;14;PARKES ST;RUTHERFORD;2320;402.3;M;20110624;20110719;307000;A;R;RESIDENCE;;EB;;0;AG388363;
C;005;187010;66;20110801 01:54;12/794463;
D;005;187010;66;20110801 01:54;P;;;;;;
D;005;187010;66;20110801 01:54;V;;;;;;
B;005;181837;67;20110801 01:54;;;2;JOAN ST;RUTHERFORD;2320;626;M;20110604;20110715;240000;A;R;RESIDENCE;;EC;;0;AG387770;
C;005;181837;67;20110801 01:54;7/H/27221;
D;005;181837;67;20110801 01:54;P;;;;;;
D;005;181837;67;20110801 01:54;V;;;;;;
D;005;181837;67;20110801 01:54;V;;;;;;
B;005;182185;68;20110801 01:54;;3;5;JUSTINE PDE;RUTHERFORD;2320;;;20110602;20110714;210000;;R;RESIDENCE;3;;;0;AG387694;
C;005;182185;68;20110801 01:54;3/SP42229;
