A;008;20030501 12:36;PBARBER;
D;008;222383;49;20030501 12:37;V;;;;;;
B;008;223994;50;20030501 12:37;;;14;GEORGE ST;TIGHES HILL;2297;;;20030131;20030317;220000;A;R;RESIDENCE;;DD;;;9526710;
C;008;223994;50;20030501 12:37;7/O/1794;
D;008;223994;50;20030501 12:37;P;;;;;;
D;008;223994;50;20030501 12:37;V;;;;;;
D;008;223994;50;20030501 12:37;V;;;;;;
B;008;224307;51;20030501 12:37;;;554;GLEBE RD;ADAMSTOWN;2289;;;20030217;20030321;240000;A;R;RESIDENCE;;HB;;;9538878;
C;008;224307;51;20030501 12:37;1//346432;
D;008;224307;51;20030501 12:37;P;;;;;;
D;008;224307;51;20030501 12:37;P;;;;;;
D;008;224307;51;20030501 12:37;V;;;;;;
D;008;224307;51;20030501 12:37;V;;;;;;
D;008;224307;51;20030501 12:37;V;;;;;;
D;008;224307;51;20030501 12:37;V;;;;;;
B;008;224607;52;20030501 12:37;;1;457;GLEBE RD;ADAMSTOWN;2289;;;20030217;20030321;225000;;R;RESIDENCE;1;;;;9530379;
C;008;224607;52;20030501 12:37;1//SP 43105;
D;008;224607;52;20030501 12:37;P;;;;;;
D;008;224607;52;20030501 12:37;V;;;;;;
B;008;225203;53;20030501 12:37;;;6;GOW ST;HAMILTON NORTH;2292;;;20030204;20030320;260100;A;R;RESIDENCE;;FQ;;;9523068;
C;008;225203;53;20030501 12:37;B//362171;
D;008;225203;53;20030501 12:37;P;;;;;;
D;008;225203;53;20030501 12:37;P;;;;;;
D;008;225203;53;20030501 12:37;V;;;;;;
B;008;225481;54;20030501 12:37;;;93;GRAYSON AVE;KOTARA;2289;645;M;20030305;20030410;276950;A;R;RESIDENCE;;HA;;;9540293;
C;008;225481;54;20030501 12:37;132//30703;
D;008;225481;54;20030501 12:37;P;;;;;;
D;008;225481;54;20030501 12:37;P;;;;;;
D;008;225481;54;20030501 12:37;V;;;;;;
B;008;225487;55;20030501 12:37;;;105;GRAYSON AVE;KOTARA;2289;588.1;M;20030228;20030411;260000;A;R;RESIDENCE;;HA;;;9541830;
C;008;225487;55;20030501 12:37;138//203473;
D;008;225487;55;20030501 12:37;P;;;;;;
D;008;225487;55;20030501 12:37;V;;;;;;
B;008;225637;56;20030501 12:37;;;25;GREGORY PDE;KOTARA;2289;467.9;M;20030312;20030411;167000;A;R;RESIDENCE;;HA;;;9535325;
C;008;225637;56;20030501 12:37;14//21402;
D;008;225637;56;20030501 12:37;P;;;;;;
D;008;225637;56;20030501 12:37;P;;;;;;
D;008;225637;56;20030501 12:37;V;;;;;;
B;008;225888;57;20030501 12:37;;;107;GRIFFITHS RD;LAMBTON;2299;1492;M;20021205;20030109;660000;I;3;BUSINESS PREM;;GJ;;;9515597;
C;008;225888;57;20030501 12:37;3, 4//19967;
D;008;225888;57;20030501 12:37;P;;;;;;
D;008;225888;57;20030501 12:37;V;;;;;;
