A;003;20020102 13:56;PTHIRLWELL;
D;003;29334;34;20020102 13:56;V;;;;;;
B;003;29951;35;20020102 13:56;;;88;BARNHILL RD;TERRIGAL;2260;661;M;20011030;20011211;390000;A;R;RESIDENCE;;GR;;;8208030;
C;003;29951;35;20020102 13:56;19//827959;
D;003;29951;35;20020102 13:56;P;;;;;;
D;003;29951;35;20020102 13:56;P;;;;;;
D;003;29951;35;20020102 13:56;V;;;;;;
D;003;29951;35;20020102 13:56;V;;;;;;
B;003;30097;36;20020102 13:56;;;65;BARNHILL RD;TERRIGAL;2260;701.9;M;20011012;20011109;750000;A;R;RESIDENCE;;GR;AC;;8183661;
C;003;30097;36;20020102 13:56;11//12426;
D;003;30097;36;20020102 13:56;P;;;;;;
D;003;30097;36;20020102 13:56;V;;;;;;
D;003;30097;36;20020102 13:56;V;;;;;;
B;003;30106;37;20020102 13:56;;;85;BARNHILL RD;TERRIGAL;2260;695.6;M;20010928;20011116;457000;A;R;RESIDENCE;;GR;;;8196722;
C;003;30106;37;20020102 13:56;2//203793;
D;003;30106;37;20020102 13:56;P;;;;;;
D;003;30106;37;20020102 13:56;P;;;;;;
D;003;30106;37;20020102 13:56;V;;;;;;
B;003;30131;38;20020102 13:56;;;15;BARONGA RD;AVOCA BEACH;2251;748.2;M;20011017;20011128;190000;A;V;VACANT LAND;;GA;AV;;8161428;
C;003;30131;38;20020102 13:56;36//245225;
D;003;30131;38;20020102 13:56;P;;;;;;
D;003;30131;38;20020102 13:56;V;;;;;;
D;003;30131;38;20020102 13:56;V;;;;;;
B;003;30198;39;20020102 13:56;;;67;BARRALONG RD;ERINA;2250;777.8;M;20010830;20011213;100000;A;V;VACANT LAND;;FZ;;;8214615;
C;003;30198;39;20020102 13:56;1//200930;
D;003;30198;39;20020102 13:56;P;;;;;;
D;003;30198;39;20020102 13:56;V;;;;;;
B;003;30660;40;20020102 13:56;;;23;BAYLINE DR;POINT CLARE;2250;613.4;M;20010928;20011107;258000;A;R;RESIDENCE;;FD;;;8197638;
C;003;30660;40;20020102 13:56;17//242206;
D;003;30660;40;20020102 13:56;P;;;;;;
D;003;30660;40;20020102 13:56;V;;;;;;
D;003;30660;40;20020102 13:56;V;;;;;;
B;003;30717;41;20020102 13:56;;;16;BAYSIDE DR;GREEN POINT;2251;499.5;M;20010911;20011018;294000;A;R;RESIDENCE;;FJ;BS;;8179249;
C;003;30717;41;20020102 13:56;32//230085;
D;003;30717;41;20020102 13:56;P;;;;;;
D;003;30717;41;20020102 13:56;V;;;;;;
B;003;31087;42;20020102 13:56;;;73;BEACHVIEW ESP;MACMASTERS BEACH;2251;695.6;M;20010917;20011029;668000;A;R;RESIDENCE;;GC;AC;;8162039;
C;003;31087;42;20020102 13:56;15//25246;
D;003;31087;42;20020102 13:56;P;;;;;;
D;003;31087;42;20020102 13:56;V;;;;;;
D;003;31087;42;20020102 13:56;V;;;;;;
B;003;31246;43;20020102 13:56;;;111;BEAUFORT RD;WAMBERAL;2260;2.841;H;20010809;20011120;830000;P;V;VACANT LAND;;PC;RV;;8157790;
C;003;31246;43;20020102 13:56;102//868472;
D;003;31246;43;20020102 13:56;P;;;;;;
D;003;31246;43;20020102 13:56;P;;;;;;
D;003;31246;43;20020102 13:56;V;;;;;;
D;003;31246;43;20020102 13:56;V;;;;;;
B;003;31525;44;20020102 13:56;;;20;BELLBIRD AVE;TERRIGAL;2260;569.1;M;20011017;20011205;338000;A;R;RESIDENCE;;FQ;;;8202673;
C;003;31525;44;20020102 13:56;2//237777;
D;003;31525;44;20020102 13:56;P;;;;;;
D;003;31525;44;20020102 13:56;P;;;;;;
D;003;31525;44;20020102 13:56;V;;;;;;
B;003;31599;45;20020102 13:56;;;;BELLEVUE RD;FORRESTERS BEACH;2260;6.603;H;20011031;20011211;5000000;R;V;VACANT LAND;;EY;;;8210580;
C;003;31599;45;20020102 13:56;42//828515;
D;003;31599;45;20020102 13:56;P;;;;;;
D;003;31599;45;20020102 13:56;P;;;;;;
D;003;31599;45;20020102 13:56;V;;;;;;
B;003;31727;46;20020102 13:56;;;16;BENKARI AVE;KARIONG;2250;384;M;20011015;20011123;212000;A;R;RESIDENCE;;FF;AC;;8179495;
C;003;31727;46;20020102 13:56;2341//789178;
D;003;31727;46;20020102 13:56;P;;;;;;
D;003;31727;46;20020102 13:56;V;;;;;;
D;003;31727;46;20020102 13:56;V;;;;;;
