A;004;20020617 11:49;PDANN;
B;004;123862;55;20020617 11:49;;4;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;4;;;;8659828;
C;004;123862;55;20020617 11:49;4//20974;
D;004;123862;55;20020617 11:49;P;;;;;;
D;004;123862;55;20020617 11:49;V;;;;;;
D;004;123862;55;20020617 11:49;V;;;;;;
D;004;123862;55;20020617 11:49;V;;;;;;
B;004;123862;56;20020617 11:49;;5;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;5;;;;8659828;
C;004;123862;56;20020617 11:49;5//20974;
D;004;123862;56;20020617 11:49;P;;;;;;
D;004;123862;56;20020617 11:49;V;;;;;;
D;004;123862;56;20020617 11:49;V;;;;;;
D;004;123862;56;20020617 11:49;V;;;;;;
B;004;123862;57;20020617 11:49;;6;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;6;;;;8659828;
C;004;123862;57;20020617 11:49;6//20974;
D;004;123862;57;20020617 11:49;P;;;;;;
D;004;123862;57;20020617 11:49;V;;;;;;
D;004;123862;57;20020617 11:49;V;;;;;;
D;004;123862;57;20020617 11:49;V;;;;;;
B;004;123862;58;20020617 11:49;;1;4;ALGONA RD;CHARLESTOWN;2290;;;20020416;20020531;87500;;R;RESIDENCE;1;;;;8659828;
C;004;123862;58;20020617 11:49;1//20974;
D;004;123862;58;20020617 11:49;P;;;;;;
D;004;123862;58;20020617 11:49;V;;;;;;
D;004;123862;58;20020617 11:49;V;;;;;;
D;004;123862;58;20020617 11:49;V;;;;;;
B;004;123956;59;20020617 11:49;;;2;PARK ST;CHARLESTOWN;2290;;;20020121;20020201;158000;;3;VILLA;1;;;;8668106;
C;004;123956;59;20020617 11:49;1//48804;
D;004;123956;59;20020617 11:49;P;;;;;;
D;004;123956;59;20020617 11:49;P;;;;;;
D;004;123956;59;20020617 11:49;V;;;;;;
