A;007;20020201 11:28;CDIXON;
B;007;199778;39;20020201 11:28;;;10;OORANGA ST;MUSWELLBROOK;2333;937.4;H;20011122;20011214;225000;A;R;RESIDENCE;;AC;AC;;8293851;
C;007;199778;39;20020201 11:28;100//263206;
D;007;199778;39;20020201 11:28;P;;;;;;
D;007;199778;39;20020201 11:28;P;;;;;;
D;007;199778;39;20020201 11:28;V;;;;;;
B;007;199848;40;20020201 11:28;;;16;PARKINSON AVE;MUSWELLBROOK;2333;;;20011115;20011221;81500;A;R;RESIDENCE;;AT;AC;;8271069;
C;007;199848;40;20020201 11:28;7//35921;
D;007;199848;40;20020201 11:28;P;;;;;;
D;007;199848;40;20020201 11:28;V;;;;;;
B;007;199985;41;20020201 11:28;;;79;QUEEN ST;MUSWELLBROOK;2333;1989;M;20011026;20011206;32500;A;V;VACANT LAND;;AM;AV;;8252721;
C;007;199985;41;20020201 11:28;546//819739;
D;007;199985;41;20020201 11:28;P;;;;;;
D;007;199985;41;20020201 11:28;V;;;;;;
D;007;199985;41;20020201 11:28;V;;;;;;
B;007;200191;42;20020201 11:28;;;7;RUTHERFORD RD;MUSWELLBROOK;2333;700;M;20011123;20011219;162000;A;R;RESIDENCE;;AL;;;8311774;
C;007;200191;42;20020201 11:28;1025//262815;
D;007;200191;42;20020201 11:28;P;;;;;;
D;007;200191;42;20020201 11:28;P;;;;;;
D;007;200191;42;20020201 11:28;V;;;;;;
B;007;200753;43;20020201 11:28;;;9;SYLVANA ST;MUSWELLBROOK;2333;698.8;M;20011120;20011220;120000;A;R;RESIDENCE;;AM;AC;;8233172;
C;007;200753;43;20020201 11:28;375//263862;
D;007;200753;43;20020201 11:28;P;;;;;;
D;007;200753;43;20020201 11:28;V;;;;;;
B;007;200768;44;20020201 11:28;;;14;TARAKAN AVE;MUSWELLBROOK;2333;600.7;M;20011126;20011126;50000;A;R;RESIDENCE;;AH;AC;;8217820;
C;007;200768;44;20020201 11:28;121//237872;
D;007;200768;44;20020201 11:28;P;;;;;;
D;007;200768;44;20020201 11:28;V;;;;;;
D;007;200768;44;20020201 11:28;V;;;;;;
B;007;201056;45;20020201 11:28;;;62;VICTORIA ST;MUSWELLBROOK;2333;847.3;M;20011030;20011130;54000;A;R;RESIDENCE;;AT;AC;;8181584;
C;007;201056;45;20020201 11:28;B//362735;
D;007;201056;45;20020201 11:28;P;;;;;;
D;007;201056;45;20020201 11:28;V;;;;;;
B;007;201071;46;20020201 11:28;;;118;VICTORIA ST;MUSWELLBROOK;2333;2352;M;20010928;20011119;85000;A;R;RESIDENCE;;AS;AC;;8238186;
C;007;201071;46;20020201 11:28;A//362666;
D;007;201071;46;20020201 11:28;P;;;;;;
D;007;201071;46;20020201 11:28;P;;;;;;
D;007;201071;46;20020201 11:28;V;;;;;;
B;007;201125;47;20020201 11:28;;;;WEEMALA PL;MUSWELLBROOK;2333;952.7;M;20011123;20011220;188000;A;R;RESIDENCE;;AB;AC;;8254256;
C;007;201125;47;20020201 11:28;22//862189;
D;007;201125;47;20020201 11:28;P;;;;;;
D;007;201125;47;20020201 11:28;P;;;;;;
D;007;201125;47;20020201 11:28;V;;;;;;
B;007;201163;48;20020201 11:28;;;9;WILKINS ST;MUSWELLBROOK;2333;916.6;M;20011115;20011214;85000;A;R;RESIDENCE;;AF;;;8308798;
C;007;201163;48;20020201 11:28;92//608166;
D;007;201163;48;20020201 11:28;P;;;;;;
D;007;201163;48;20020201 11:28;P;;;;;;
D;007;201163;48;20020201 11:28;V;;;;;;
D;007;201163;48;20020201 11:28;V;;;;;;
B;007;201320;49;20020201 11:28;;;33;WOLLOMBI RD;MUSWELLBROOK;2333;655.8;M;20011121;20011219;60000;A;R;RESIDENCE;;AH;AC;;8228620;
C;007;201320;49;20020201 11:28;45//261812;
D;007;201320;49;20020201 11:28;P;;;;;;
D;007;201320;49;20020201 11:28;P;;;;;;
D;007;201320;49;20020201 11:28;V;;;;;;
B;007;201339;50;20020201 11:28;;;8;WOOLLYBUTT WAY;MUSWELLBROOK;2333;600.6;M;20011204;20011220;135000;A;R;RESIDENCE;;AL;AC;;8269570;
C;007;201339;50;20020201 11:28;2013//263131;
D;007;201339;50;20020201 11:28;P;;;;;;
D;007;201339;50;20020201 11:28;V;;;;;;
B;007;201357;51;20020201 11:28;;14;39;WOOLLYBUTT WAY;MUSWELLBROOK;2333;;;20011214;20020123;52000;;R;RESIDENCE;14;;;;8312220;
C;007;201357;51;20020201 11:28;14//20260;
D;007;201357;51;20020201 11:28;P;;;;;;
D;007;201357;51;20020201 11:28;V;;;;;;
B;007;2860286;52;20020201 11:28;;;;PH DENMAN;HOLLYDEEN;2333;49.03;H;20010319;20011219;225000;P;3;FARM;;RG;RG;;8280109;
C;007;2860286;52;20020201 11:28;55//1034185;
D;007;2860286;52;20020201 11:28;P;;;;;;
D;007;2860286;52;20020201 11:28;V;;;;;;
B;007;2886406;53;20020201 11:28;;;;BELL ST;DENMAN;2328;4.586;H;20011016;20011214;73000;;V;VACANT LAND;;;RV;;8265756;
C;007;2886406;53;20020201 11:28;22//876528;
D;007;2886406;53;20020201 11:28;P;;;;;;
D;007;2886406;53;20020201 11:28;P;;;;;;
D;007;2886406;53;20020201 11:28;V;;;;;;
B;007;2886408;54;20020201 11:28;;;;;MUSWELLBROOK;2333;325.963;H;20010722;20011031;376000;;3;FARMLAND;;;RG;;8206284;
C;007;2886408;54;20020201 11:28;15, 203, 205, 27, 40, 52, 68, 72, 9//752444;
D;007;2886408;54;20020201 11:28;P;;;;;;
D;007;2886408;54;20020201 11:28;V;;;;;;
D;007;2886408;54;20020201 11:28;V;;;;;;
B;007;2886574;55;20020201 11:28;;;;;MUSWELLBROOK;2333;16.39;H;20011203;20011207;40000;;3;;;;RV;;8185162;
C;007;2886574;55;20020201 11:28;150, 150/L/753767;
D;007;2886574;55;20020201 11:28;P;;;;;;
D;007;2886574;55;20020201 11:28;P;;;;;;
D;007;2886574;55;20020201 11:28;V;;;;;;
Z;272;55;56;159;
