postcode,region_group,gccsa_name,area_weight_sqkm,postcode_name
2535,Rest of NSW,Rest of NSW,247.9753,2535
2536,Rest of NSW,Rest of NSW,974.8377,2536
2537,Rest of NSW,Rest of NSW,1167.0234,2537
2538,Rest of NSW,Rest of NSW,390.494,2538
2539,Rest of NSW,Rest of NSW,686.0289,2539
2540,Rest of NSW,Rest of NSW,1833.4359,2540
2541,Rest of NSW,Rest of NSW,45.432,2541
2545,Rest of NSW,Rest of NSW,876.5468,2545
2546,Rest of NSW,Rest of NSW,911.2673,2546
2548,Rest of NSW,Rest of NSW,120.1179,2548
2549,Rest of NSW,Rest of NSW,222.9511,2549
2550,Rest of NSW,Rest of NSW,3966.6591,2550
2551,Rest of NSW,Rest of NSW,1397.7681,2551
2555,Greater Sydney,Greater Sydney,26.981,2555
2556,Greater Sydney,Greater Sydney,40.2134,2556
2557,Greater Sydney,Greater Sydney,37.1205,2557
2558,Greater Sydney,Greater Sydney,7.6039,2558
2559,Greater Sydney,Greater Sydney,4.3495,2559
2560,Greater Sydney,Greater Sydney,206.6651,2560
2563,Greater Sydney,Greater Sydney,11.5603,2563
2564,Greater Sydney,Greater Sydney,9.0236,2564
2565,Greater Sydney,Greater Sydney,29.7009,2565
2566,Greater Sydney,Greater Sydney,28.3019,2566
2567,Greater Sydney,Greater Sydney,31.1557,2567
2568,Greater Sydney,Greater Sydney,34.0936,2568
2569,Greater Sydney,Greater Sydney,26.770699999999998,2569
2570,Greater Sydney,Greater Sydney,469.0775,2570
2571,Greater Sydney,Greater Sydney,163.3952,2571
2572,Greater Sydney,Greater Sydney,106.1734,2572
2573,Greater Sydney,Greater Sydney,16.9784,2573
2574,Rest of NSW,Rest of NSW,282.4595,2574
2575,Rest of NSW,Rest of NSW,981.4743,2575
2576,Rest of NSW,Rest of NSW,174.2442,2576
2577,Rest of NSW,Rest of NSW,1312.519,2577
2578,Rest of NSW,Rest of NSW,47.9223,2578
2579,Rest of NSW,Rest of NSW,860.117,2579
2580,Rest of NSW,Rest of NSW,5512.6655,2580
2581,Rest of NSW,Rest of NSW,2106.6075,2581
2582,Rest of NSW,Rest of NSW,3130.1184,2582
2583,Rest of NSW,Rest of NSW,3382.6891,2583
2584,Rest of NSW,Rest of NSW,281.3129,2584
2585,Rest of NSW,Rest of NSW,260.132,2585
2586,Rest of NSW,Rest of NSW,2323.2503,2586
2587,Rest of NSW,Rest of NSW,921.8587,2587
2588,Rest of NSW,Rest of NSW,218.0548,2588
2590,Rest of NSW,Rest of NSW,1320.4637,2590
2594,Rest of NSW,Rest of NSW,2418.7155,2594
2611,Rest of NSW,Rest of NSW,994.9401,2611
2618,Rest of NSW,Rest of NSW,197.0011,2618
2619,Rest of NSW,Rest of NSW,11.3316,2619
2620,Rest of NSW,Rest of NSW,1656.1435999999999,2620
2621,Rest of NSW,Rest of NSW,853.2512,2621
2622,Rest of NSW,Rest of NSW,4256.1145,2622
2623,Rest of NSW,Rest of NSW,166.9084,2623
2624,Rest of NSW,Rest of NSW,348.5647,2624
2625,Rest of NSW,Rest of NSW,1.0856,2625
2626,Rest of NSW,Rest of NSW,383.5704,2626
2627,Rest of NSW,Rest of NSW,1994.6112,2627
2628,Rest of NSW,Rest of NSW,2337.0094,2628
2629,Rest of NSW,Rest of NSW,2054.5144,2629
2630,Rest of NSW,Rest of NSW,4206.3548,2630
2631,Rest of NSW,Rest of NSW,1199.4934,2631
2632,Rest of NSW,Rest of NSW,1824.9879,2632
2633,Rest of NSW,Rest of NSW,766.4927,2633
2640,Rest of NSW,Rest of NSW,1029.4042,2640
2641,Rest of NSW,Rest of NSW,33.5384,2641
2642,Rest of NSW,Rest of NSW,4076.8,2642
2643,Rest of NSW,Rest of NSW,156.4024,2643
2644,Rest of NSW,Rest of NSW,2157.7365,2644
2645,Rest of NSW,Rest of NSW,1181.6879,2645
2646,Rest of NSW,Rest of NSW,2895.4549,2646
2647,Rest of NSW,Rest of NSW,357.3501,2647
2648,Rest of NSW,Rest of NSW,23909.7281,2648
2649,Rest of NSW,Rest of NSW,247.113,2649
2650,Rest of NSW,Rest of NSW,4061.238,2650
2651,Rest of NSW,Rest of NSW,34.62,2651
2652,Rest of NSW,Rest of NSW,6116.1137,2652
2653,Rest of NSW,Rest of NSW,1228.8205,2653
2655,Rest of NSW,Rest of NSW,427.2763,2655
2656,Rest of NSW,Rest of NSW,1497.1368,2656
2658,Rest of NSW,Rest of NSW,748.0545,2658
2659,Rest of NSW,Rest of NSW,367.5445,2659
2660,Rest of NSW,Rest of NSW,451.27930000000003,2660
2661,Rest of NSW,Rest of NSW,14.7623,2661
2663,Rest of NSW,Rest of NSW,492.6429,2663
2665,Rest of NSW,Rest of NSW,4109.6274,2665
2666,Rest of NSW,Rest of NSW,2462.5855,2666
2668,Rest of NSW,Rest of NSW,708.1132,2668
2669,Rest of NSW,Rest of NSW,6295.3460000000005,2669
2671,Rest of NSW,Rest of NSW,3297.7351,2671
2672,Rest of NSW,Rest of NSW,1794.2389,2672
2675,Rest of NSW,Rest of NSW,8518.5583,2675
2678,Rest of NSW,Rest of NSW,3.5099,2678
2680,Rest of NSW,Rest of NSW,1894.4513,2680
2681,Rest of NSW,Rest of NSW,471.7587,2681
2700,Rest of NSW,Rest of NSW,3016.2983,2700
2701,Rest of NSW,Rest of NSW,852.1158,2701
2702,Rest of NSW,Rest of NSW,439.8686,2702
2703,Rest of NSW,Rest of NSW,56.8879,2703
2705,Rest of NSW,Rest of NSW,1129.1529,2705
2706,Rest of NSW,Rest of NSW,725.4016,2706
2707,Rest of NSW,Rest of NSW,2112.3439,2707
2710,Rest of NSW,Rest of NSW,10466.1631,2710
2711,Rest of NSW,Rest of NSW,24180.255,2711
2712,Rest of NSW,Rest of NSW,966.5102,2712
2713,Rest of NSW,Rest of NSW,970.31,2713
2714,Rest of NSW,Rest of NSW,708.9706,2714
2715,Rest of NSW,Rest of NSW,13749.9032,2715
2716,Rest of NSW,Rest of NSW,2861.8271,2716
2717,Rest of NSW,Rest of NSW,120.7928,2717
2720,Rest of NSW,Rest of NSW,2485.6548,2720
2721,Rest of NSW,Rest of NSW,539.5029,2721
2722,Rest of NSW,Rest of NSW,1576.1373,2722
2725,Rest of NSW,Rest of NSW,262.3734,2725
2726,Rest of NSW,Rest of NSW,160.6689,2726
2727,Rest of NSW,Rest of NSW,772.9227000000001,2727
2729,Rest of NSW,Rest of NSW,933.1202,2729
2730,Rest of NSW,Rest of NSW,420.4856,2730
2731,Rest of NSW,Rest of NSW,1428.1661,2731
2732,Rest of NSW,Rest of NSW,1849.8263,2732
2733,Rest of NSW,Rest of NSW,2279.3516,2733
2734,Rest of NSW,Rest of NSW,1755.2448,2734
2735,Rest of NSW,Rest of NSW,271.5656,2735
